user_id,first,last,password,position,salary,role
1,Amir,bernstein,12345678,teacher,100,teacher
2,Hen,biton,password,admin,1000,admin
3,Ghidon,Pan,israel,student,200,teacher
4,Ben,Mizrahi,snake,teacher,500,teacher
5,David,Benayoun,itc,teacher,650,teacher
6,Dennis,Goldberg,generator,teacher,2000,teacher
7,Sara,Bador,python,student,200,teacher
8,Anna,Saig,javascript,student,10,teacher
9,Itzik,Suissa,css,student,100,teacher
10,Emma,Englard,html,teacher,1500,teacher
11,Elie,Hafez,decorators,teacher,3000,teacher
12,Maxim,Suchecky,quarantine,student,200,teacher
13,Irina,Mizrahi,covid,student,20,teacher
15,Tom,Knecht,password,student,100,teacher
14,Tom,Knecht,password,student,100,teacher
19,Tom,Knecht,password,student,100,teacher
20,Tom,Knecht,password,student,100,teacher
22,Tom,Knecht,password,student,100,teacher
